Item,Designator,Quantity,Manufacturer,Manufacturer Part Number,Description,Package,Mounting Type,Supplier,Supplier Part Number,Procurement Type,Customer Note,Source URL
1,U1,1,ESPRESSIF,ESP32-S3-WROOM-1-N8R8,"Wi-Fi and Bluetooth 5 LE module, 8 MB flash, 8 MB PSRAM","SMD, 25.5x18mm",SMT,LCSC,C2913201,,,https://www.lcsc.com/product-detail/C2913201.html
2,U2,1,Advanced Monolithic Systems,AMS1117-3.3,3.3 V 1 A linear regulator,SOT-223,SMT,LCSC,C6186,,,https://www.lcsc.com/product-detail/C6186.html
3,J1,1,Korean Hroparts Elec,TYPE-C-31-M-12,"USB Type-C receptacle, 16 positions",SMD USB-C 16P,SMT,LCSC,C165948,,,https://www.lcsc.com/product-detail/C165948.html
4,D1,1,TECH PUBLIC,USBLC6-2SC6,Dual-channel USB ESD protection array,SOT-23-6,SMT,LCSC,C2827654,,,https://www.lcsc.com/product-detail/C2827654.html
5,BZ1,1,XHXDZ,SMD5020-ZK,"3 V passive electromagnetic buzzer, 4 kHz","SMD, 5.3x5.3mm",SMT,LCSC,C49246955,,,https://www.lcsc.com/product-detail/C49246955.html
6,Q_BZ,1,AOS,AO3400A,30 V N-channel MOSFET,SOT-23,SMT,LCSC,C20917,,,https://www.lcsc.com/product-detail/C20917.html
7,D_BZ,1,JSMSEMI,1N4148W,100 V fast switching diode,SOD-123,SMT,LCSC,C917030,,,https://www.lcsc.com/product-detail/C917030.html
8,"C1,C3,C4,C5,C7,C9",6,Samsung Electro-Mechanics,CL21A106KAYNNNE,"10 uF 25 V X5R ceramic capacitor, 10%",0805,SMT,LCSC,C15850,,,https://www.lcsc.com/product-detail/C15850.html
9,"C2,C6,C8,C_OLED",4,YAGEO,CC0603KRX7R9BB104,"100 nF 50 V X7R ceramic capacitor, 10%",0603,SMT,LCSC,C14663,,,https://www.lcsc.com/product-detail/C14663.html
10,C_EN,1,Samsung Electro-Mechanics,CL10A105KB8NNNC,"1 uF 50 V X5R ceramic capacitor, 10%",0603,SMT,LCSC,C15849,,,https://www.lcsc.com/product-detail/C15849.html
11,"R1,R2",2,UNI-ROYAL,0603WAF5101T5E,"5.1 kohm 100 mW thick-film resistor, 1%",0603,SMT,LCSC,C23186,,,https://www.lcsc.com/product-detail/C23186.html
12,"R_BOOT,R_BZ_PD,R_EN,R_SCL,R_SDA",5,UNI-ROYAL,0603WAF1002T5E,"10 kohm 100 mW thick-film resistor, 1%",0603,SMT,LCSC,C25804,,,https://www.lcsc.com/product-detail/C25804.html
13,"R_BZ,R_CHAL0,R_CHAL1,R_CHAL2,R_LED1,R_LED2,R_LED3,R_LED4,R_LED5,R_UART_RX,R_UART_TX",11,UNI-ROYAL,0603WAF1001T5E,"1 kohm 100 mW thick-film resistor, 1%",0603,SMT,LCSC,C21190,,,https://www.lcsc.com/product-detail/C21190.html
14,"LED1,LED2,LED3,LED4,LED5",5,Hubei KENTO Elec,KT-0603R,Red indicator LED,0603,SMT,LCSC,C2286,,,https://www.lcsc.com/product-detail/C2286.html
15,"SW_ADMIN,SW_BOOT,SW_EN",3,XUNPU,TS-1088-AR02016,"SPST normally-open tactile switch, 160 gf","SMD, 4x3mm",SMT,LCSC,C720477,,,https://www.lcsc.com/product-detail/C720477.html
16,OLED1,1,,HS96L03W2C03,0.96 inch 128x64 white I2C OLED module; install manually,"27.3x27.8mm module, 1x4 PTH",Manual / PTH,DeviceMart,DeviceMart 15963242,DNP,Do not procure or assemble. Customer hand-solders OLED after PCBA.,https://www.devicemart.co.kr/goods/view?no=15963242
