Comment,Designator,Footprint,LCSC Part #
ESP32-S3-WROOM-1-N8R8,U1,ESP32-S3-WROOM-1,C2913201
AMS1117-3.3,U2,SOT-223,C6186
TYPE-C-31-M-12,J1,USB-C 16P,C165948
USBLC6-2SC6,D1,SOT-23-6,C2827654
SMD5020-ZK,BZ1,SMD 5.3x5.3mm,C49246955
AO3400A,Q_BZ,SOT-23,C20917
1N4148W,D_BZ,SOD-123,C917030
10uF,"C1,C3,C4,C5,C7,C9",0805,C15850
100nF,"C2,C6,C8,C_OLED",0603,C14663
1uF,C_EN,0603,C15849
5.1k,"R1,R2",0603,C23186
10k,"R_BOOT,R_BZ_PD,R_EN,R_SCL,R_SDA",0603,C25804
1k,"R_BZ,R_CHAL0,R_CHAL1,R_CHAL2,R_LED1,R_LED2,R_LED3,R_LED4,R_LED5,R_UART_RX,R_UART_TX",0603,C21190
KT-0603R red,"LED1,LED2,LED3,LED4,LED5",LED 0603,C2286
TS-1088-AR02016 game controls,"SW_ADMIN,SW_BOOT,SW_EN",SMD 4x3mm,C720477
