Designator,Mid X,Mid Y,Layer,Rotation
BZ1,90.0000mm,-41.5000mm,Top,0.00
C1,27.0000mm,-53.0000mm,Top,90.00
C2,27.0000mm,-56.5000mm,Top,90.00
C3,27.0000mm,-60.0000mm,Top,90.00
C4,42.0000mm,-53.0000mm,Top,90.00
C5,42.0000mm,-56.5000mm,Top,90.00
C6,42.0000mm,-60.0000mm,Top,90.00
C7,83.0000mm,-59.0000mm,Top,90.00
C8,86.0000mm,-59.0000mm,Top,90.00
C9,92.0000mm,-52.0000mm,Top,90.00
C_EN,89.0000mm,-59.0000mm,Top,90.00
C_OLED,44.0000mm,-38.0000mm,Top,90.00
D1,62.5000mm,-95.0000mm,Top,270.00
D_BZ,88.0000mm,-47.0000mm,Top,90.00
J1,62.5000mm,-100.9291mm,Top,0.00
LED1,52.0000mm,-58.0000mm,Top,0.00
LED2,57.2500mm,-58.0000mm,Top,0.00
LED3,62.5000mm,-58.0000mm,Top,0.00
LED4,67.7500mm,-58.0000mm,Top,0.00
LED5,73.0000mm,-58.0000mm,Top,0.00
Q_BZ,91.0000mm,-48.0000mm,Top,270.00
R1,54.5000mm,-96.5000mm,Top,0.00
R2,70.5000mm,-96.5000mm,Top,0.00
R_BOOT,76.5000mm,-82.5000mm,Top,90.00
R_BZ,82.5000mm,-46.5000mm,Top,0.00
R_BZ_PD,82.5000mm,-49.5000mm,Top,0.00
R_CHAL0,30.0000mm,-76.5000mm,Top,90.00
R_CHAL1,36.0000mm,-76.5000mm,Top,90.00
R_CHAL2,42.0000mm,-76.5000mm,Top,90.00
R_EN,89.0000mm,-55.5000mm,Top,90.00
R_LED1,52.0000mm,-61.5000mm,Top,0.00
R_LED2,57.2500mm,-61.5000mm,Top,0.00
R_LED3,62.5000mm,-61.5000mm,Top,0.00
R_LED4,67.7500mm,-61.5000mm,Top,0.00
R_LED5,71.5000mm,-61.5000mm,Top,0.00
R_SCL,44.0000mm,-42.0000mm,Top,90.00
R_SDA,44.0000mm,-46.0000mm,Top,90.00
R_UART_RX,46.0000mm,-33.0000mm,Top,90.00
R_UART_TX,46.0000mm,-29.5000mm,Top,90.00
SW_ADMIN,72.5000mm,-87.5000mm,Top,0.00
SW_BOOT,62.5000mm,-87.5000mm,Top,0.00
SW_EN,52.5000mm,-87.5000mm,Top,0.00
U1,83.8733mm,-71.0000mm,Top,270.00
U2,34.5000mm,-56.5000mm,Top,180.00
